0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0.000765464  0.00010758
0.131477   0.0023845
0.95359   0.0171798
1.84494   0.0353012
2.07227   0.0399871
1.91679   0.0355601
1.69016   0.0289401
1.49802   0.0253519
1.34829   0.0219367
1.23988   0.0203329
1.16025   0.0178714
1.10321   0.0166925
1.06773   0.0152562
1.04065   0.0143819
1.02167   0.0141966
1.00578   0.0121289
1.00048   0.0118504
1.00359    0.011862
0.999208   0.0125297
0.995593   0.0115002
0.99729   0.0113192
1.00116   0.0119266
0.994459   0.0106916
0.99088   0.0101016
0.987106  0.00908143
0.985739  0.00879567
0.978338  0.00882857
0.979707  0.00824021
0.973991  0.00776988
0.973803  0.00763229
0.973079  0.00785857
0.977398  0.00791944
0.974494  0.00783481
0.971873  0.00763142
0.971137  0.00719226
0.972677  0.00754912
0.973077  0.00731894
0.971627   0.0075428
0.970688  0.00641234
0.968885  0.00611931
0.972586  0.00530223
0.971255  0.00479998
0.972329  0.00478261
0.970588  0.00533949
0.969284  0.00481269
0.97044  0.00549508
0.969316  0.00481226
0.967662  0.00439509
0.971279  0.00444016
0.972171  0.00424666
0.97248  0.00412708
0.974182  0.00350694
0.972616  0.00404608
0.972182   0.0035721
0.971821  0.00376275
0.972824  0.00339969
0.971978   0.0037767
0.970664  0.00373394
0.972125  0.00345586
0.972827  0.00331242
0.97198  0.00328834
0.97303  0.00324001
0.974899  0.00292616
0.975081  0.00326312
0.973592  0.00326257
0.975074  0.00343684
0.97671  0.00357626
0.977893    0.003748
0.976045   0.0034796
0.975106  0.00349868
0.973743  0.00323294
0.975616  0.00334651
0.973629  0.00347358
0.975915   0.0034859
0.977207  0.00338476
0.977488  0.00318122
0.97751   0.0030262
0.977093  0.00299222
0.977144  0.00274649
0.976433  0.00263595
0.975654  0.00310817
0.97674  0.00271526
0.97755  0.00264047
0.976884  0.00247016
0.978062  0.00274512
0.977738  0.00276183
0.978461  0.00247157
