           1     1.13558     1.13558           0
           2     1.31789     1.22673   0.0644533
           3     1.33769     1.26372   0.0525194
           4     1.47874     1.31747   0.0609814
           5     1.16953     1.28789   0.0555015
           6     1.41992     1.30989   0.0504252
           7     1.46321     1.33179    0.047742
           8       1.451     1.34669   0.0440383
           9      1.2965     1.34112   0.0394967
          10     1.44302     1.35131    0.036838
          11     1.54516     1.36893   0.0374681
          12     1.25722     1.35962   0.0354833
          13     1.49347     1.36992   0.0342149
          14     1.36736     1.36973   0.0317715
          15     1.36699     1.36955   0.0296539
          16     1.40895     1.37201   0.0279026
          17     1.37808     1.37237   0.0262635
          18     1.30152     1.36843   0.0250977
          19     1.33378     1.36661   0.0238429
          20     1.22061     1.35931    0.023742
