0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0           0
0.00109948 0.000609986
0.132192  0.00939512
0.981585   0.0494039
1.96217   0.0634472
2.12137   0.0556032
1.96386   0.0559649
1.78213   0.0592296
1.63708   0.0571591
1.46006   0.0501488
1.31714   0.0487699
1.26917   0.0372296
1.13388   0.0363625
1.06679   0.0252274
1.01966   0.0268139
1.02315   0.0281765
1.00815   0.0217244
1.02231   0.0264178
0.991078   0.0304919
1.00237   0.0261981
0.999733   0.0269231
1.0134   0.0245116
1.01149    0.028731
1.0161    0.025755
1.00302   0.0212189
0.99201   0.0195389
1.00898   0.0230604
1.02302    0.023568
1.01462   0.0212254
1.00979   0.0173407
0.995926   0.0143189
1.0019   0.0174715
0.988676   0.0153256
0.983146   0.0130228
0.969458   0.0191944
0.997262   0.0190858
0.975496   0.0126635
0.973395   0.0114418
0.965943   0.0145876
0.964522   0.0129543
0.960759   0.0156538
0.955882   0.0157366
0.963164   0.0144226
0.973041   0.0164928
0.992153    0.018059
0.982637   0.0183006
0.978952   0.0142913
0.975104   0.0159032
0.977795    0.019166
0.956083   0.0154763
0.977046   0.0128084
0.972745   0.0145671
0.991758   0.0170666
0.997288    0.019306
1.00706   0.0191048
0.991249   0.0192634
0.984422   0.0153506
0.984581   0.0141545
0.987795   0.0105727
0.997253  0.00998531
0.993109   0.0142424
0.982864   0.0119123
0.977927  0.00765846
0.983765    0.011763
0.9958   0.0131989
0.990738  0.00838189
0.991498  0.00895846
1.00252   0.0102056
1.00677  0.00834901
1.01327  0.00777273
0.993913   0.0095398
0.991689   0.0115987
1.00005   0.0095573
0.994912   0.0101098
0.998625  0.00929989
0.979184  0.00760579
0.987529  0.00766889
0.986157  0.00726863
0.979559  0.00522052
0.980165  0.00482324
0.974251  0.00603669
0.975589  0.00910004
0.97405  0.00765865
0.973933  0.00623003
0.97719   0.0085621
0.989638  0.00749976
0.987953  0.00604992
0.989652  0.00743776
