           1     1.19444     1.19444           0
           2      1.2255     1.20997   0.0109802
           3     1.23476     1.21823   0.0099551
           4     1.20965     1.21609  0.00769422
           5     1.20738     1.21434   0.0063495
           6     1.20513     1.21281  0.00547369
           7     1.24143      1.2169  0.00602855
           8     1.20519     1.21543  0.00544965
           9      1.1978     1.21347  0.00518454
          10     1.17286     1.20941  0.00605111
          11     1.18502      1.2072  0.00589343
          12     1.16778     1.20391  0.00625099
          13      1.1852     1.20247  0.00593347
          14     1.19117     1.20166  0.00556434
          15      1.1747     1.19987  0.00547604
          16     1.17085     1.19805  0.00542585
          17     1.19491     1.19787  0.00510983
          18     1.19777     1.19786  0.00482595
          19     1.16372     1.19607  0.00489518
          20     1.21747     1.19714  0.00476603
