           1     1.39966     1.39966           0
           2     1.39948     1.39957 6.20305e-05
           3     1.39949     1.39954 4.69016e-05
           4     1.39957     1.39955 3.56234e-05
           5      1.3996     1.39956 2.99592e-05
           6     1.39955     1.39956  2.4992e-05
           7     1.39962     1.39957 2.27813e-05
           8     1.39964     1.39958 2.18832e-05
           9     1.39966     1.39959 2.12861e-05
          10     1.39966     1.39959 2.04246e-05
          11     1.39966      1.3996 1.94952e-05
          12     1.39963      1.3996 1.80078e-05
          13     1.39962      1.3996 1.66689e-05
          14     1.39966     1.39961 1.60258e-05
          15     1.39963     1.39961 1.50053e-05
          16     1.39961     1.39961 1.40679e-05
          17     1.39955     1.39961 1.37047e-05
          18     1.39964     1.39961  1.3078e-05
          19     1.39969     1.39961 1.31423e-05
          20     1.39952     1.39961 1.33495e-05
